times	variable	value	jaw	species	type
10	0.0162126058834762	pred.ham.md	712.075594979887	md	ham	4 curves
11	0.129125117648307	pred.ham.md	719.191692406068	md	ham	4 curves
12	0.242037629413138	pred.ham.md	726.386735151461	md	ham	4 curves
13	0.354950141177968	pred.ham.md	733.662223574388	md	ham	4 curves
14	0.467862652942799	pred.ham.md	741.019692342811	md	ham	4 curves
15	0.58077516470763	pred.ham.md	748.460711221755	md	ham	4 curves
16	0.69368767647246	pred.ham.md	755.986885882579	md	ham	4 curves
17	0.806600188237291	pred.ham.md	763.599858734794	md	ham	4 curves
18	0.919512700002122	pred.ham.md	771.301309781127	md	ham	4 curves
19	1.03242521176695	pred.ham.md	779.092957496558	md	ham	4 curves
20	1.14533772353178	pred.ham.md	786.976559732104	md	ham	4 curves
21	1.25825023529661	pred.ham.md	794.953914644093	md	ham	4 curves
22	1.37116274706144	pred.ham.md	803.026861649777	md	ham	4 curves
23	1.48407525882628	pred.ham.md	811.197282410071	md	ham	4 curves
24	1.59698777059111	pred.ham.md	819.467101840307	md	ham	4 curves
25	1.70990028235594	pred.ham.md	827.838289149874	md	ham	4 curves
26	1.82281279412077	pred.ham.md	836.312858911658	md	ham	4 curves
27	1.9357253058856	pred.ham.md	844.892872162244	md	ham	4 curves
28	2.04863781765043	pred.ham.md	853.580437533823	md	ham	4 curves
29	2.16155032941526	pred.ham.md	862.377712418859	md	ham	4 curves
30	2.27446284118009	pred.ham.md	871.286904168515	md	ham	4 curves
31	2.38737535294492	pred.ham.md	880.310271325948	md	ham	4 curves
32	2.50028786470975	pred.ham.md	889.450124895571	md	ham	4 curves
33	2.61320037647458	pred.ham.md	898.708829649434	md	ham	4 curves
34	2.72611288823941	pred.ham.md	908.08880547193	md	ham	4 curves
35	2.83902540000424	pred.ham.md	917.592528744037	md	ham	4 curves
36	2.95193791176907	pred.ham.md	927.222533768385	md	ham	4 curves
37	3.0648504235339	pred.ham.md	936.981414236456	md	ham	4 curves
38	3.17776293529874	pred.ham.md	946.871824739287	md	ham	4 curves
39	3.29067544706357	pred.ham.md	956.896482323081	md	ham	4 curves
40	3.4035879588284	pred.ham.md	967.058168091183	md	ham	4 curves
41	3.51650047059323	pred.ham.md	977.359728853926	md	ham	4 curves
42	3.62941298235806	pred.ham.md	987.804078827927	md	ham	4 curves
43	3.74232549412289	pred.ham.md	998.394201386415	md	ham	4 curves
44	3.85523800588772	pred.ham.md	1009.1331508623	md	ham	4 curves
45	3.96815051765255	pred.ham.md	1020.02405440566	md	ham	4 curves
46	4.08106302941738	pred.ham.md	1031.07011389756	md	ham	4 curves
47	4.19397554118221	pred.ham.md	1042.27460792183	md	ham	4 curves
48	4.30688805294704	pred.ham.md	1053.64089379699	md	ham	4 curves
49	4.41980056471187	pred.ham.md	1065.17240967011	md	ham	4 curves
50	4.5327130764767	pred.ham.md	1076.87267667477	md	ham	4 curves
51	4.64562558824153	pred.ham.md	1088.74530115519	md	ham	4 curves
52	4.75853810000637	pred.ham.md	1100.79397695877	md	ham	4 curves
53	4.8714506117712	pred.ham.md	1113.02248779937	md	ham	4 curves
54	4.98436312353603	pred.ham.md	1125.43470969358	md	ham	4 curves
55	5.09727563530086	pred.ham.md	1138.03461347258	md	ham	4 curves
56	5.21018814706569	pred.ham.md	1150.82626737201	md	ham	4 curves
57	5.32310065883052	pred.ham.md	1163.81383970258	md	ham	4 curves
58	5.43601317059535	pred.ham.md	1177.00160160409	md	ham	4 curves
59	5.54892568236018	pred.ham.md	1190.39392988577	md	ham	4 curves
60	5.66183819412501	pred.ham.md	1203.99530995574	md	ham	4 curves
61	5.77475070588984	pred.ham.md	1217.81033884281	md	ham	4 curves
62	5.88766321765467	pred.ham.md	1231.84372831362	md	ham	4 curves
63	6.0005757294195	pred.ham.md	1246.10030808853	md	ham	4 curves
64	6.11348824118433	pred.ham.md	1260.58502915951	md	ham	4 curves
65	6.22640075294916	pred.ham.md	1275.30296721368	md	ham	4 curves
66	6.339313264714	pred.ham.md	1290.25932616611	md	ham	4 curves
67	6.45222577647883	pred.ham.md	1305.45944180559	md	ham	4 curves
68	6.56513828824366	pred.ham.md	1320.90878555747	md	ham	4 curves
69	6.67805080000849	pred.ham.md	1336.61296836748	md	ham	4 curves
70	6.79096331177332	pred.ham.md	1352.57774471083	md	ham	4 curves
71	6.90387582353815	pred.ham.md	1368.80901673101	md	ham	4 curves
72	7.01678833530298	pred.ham.md	1385.31283851283	md	ham	4 curves
73	7.12970084706781	pred.ham.md	1402.09542049436	md	ham	4 curves
74	7.24261335883264	pred.ham.md	1419.16313402285	md	ham	4 curves
75	7.35552587059747	pred.ham.md	1436.52251605948	md	ham	4 curves
76	7.4684383823623	pred.ham.md	1454.18027403855	md	ham	4 curves
77	7.58135089412713	pred.ham.md	1472.14329088627	md	ham	4 curves
78	7.69426340589196	pred.ham.md	1490.41863020514	md	ham	4 curves
79	7.80717591765679	pred.ham.md	1509.01354162965	md	ham	4 curves
80	7.92008842942163	pred.ham.md	1527.93546635968	md	ham	4 curves
81	8.03300094118645	pred.ham.md	1547.19204287765	md	ham	4 curves
82	8.14591345295129	pred.ham.md	1566.79111285652	md	ham	4 curves
83	8.25882596471612	pred.ham.md	1586.74072726513	md	ham	4 curves
84	8.37173847648095	pred.ham.md	1607.04915267831	md	ham	4 curves
85	8.48465098824578	pred.ham.md	1627.72487779917	md	ham	4 curves
86	8.59756350001061	pred.ham.md	1648.77662020123	md	ham	4 curves
87	8.71047601177544	pred.ham.md	1670.2133332986	md	ham	4 curves
