,Regulator,Target,Perturbation,Effect,Stage,Tissue.Reg,Tissue.Target,Additional Perturbation,Year,Reference
EPI EPI positive target,Ctnnb1,Shh,+,+,E14,Epi,Epi,,2009,"Wang XP, O'Connell DJ, Lund JJ, Saadi I, Kuraguchi M, Turbe-Doan A, Cavallesco R, Kim H, Park PJ, Harada H, Kucherlapati R, Maas RL. Apc inhibition of Wnt signaling regulates supernumerary tooth formation during embryogenesis and throughout adulthood. Development 2009 vol. 136 (11) pp. 1939-49"
EPI EPI positive target,Ctnnb1,Shh,+,+,E14,Epi,Epi,,2006,"Järvinen E, Salazar-Ciudad I, Birchmeier W, Taketo MM, Jernvall J, Thesleff I. Continuous tooth generation in mouse is induced by activated epithelial Wnt/beta-catenin signaling. PNAS 2006 vol. 103 (49) pp. 18627-32"
MES EPI positive target,Ctnnb1,Shh,-,-,E14,Mes,Epi,,2009,"Chen J, Lan Y, Baek JA, Gao Y, Jiang R. Wnt/beta-catenin signaling plays an essential role in activation of odontogenic mesenchyme during early tooth development. Developmental biology 2009 vol. 334 (1) pp. 174-85"
MES EPI positive target,Ctnnb1,Shh,-,-,E12,Mes,Epi,,2010,"Fujimori S, Novak H, Weissenböck M, Jussila M, Gonçalves A, Zeller R, Galloway J, Thesleff I, Hartmann C. Wnt/?-catenin signaling in the dental mesenchyme regulates incisor development by regulating Bmp4. Developmental biology 2010 vol. 348 (1) pp. 97-106"
EPI EPI positive target,Ctnnb1,Shh,-,-,E13,Epi,Epi,,2008,"Liu F, Chu EY, Watt B, Zhang Y, Gallant NM, Andl T, Yang SH, Lu MM, Piccolo S, Schmidt-Ullrich R, Taketo MM, Morrisey EE, Atit R, Dlugosz AA, Millar SE. Wnt/beta-catenin signaling directs multiple stages of tooth morphogenesis. Developmental biology 2008 vol. 313 (1) pp. 210-24"
MES MES positive target,Gsk3b,Smad2,-,+,E10,Mes,Mes,,2011,This study
EPI EPI negative target,Gsk3b,Smad3,-,-,E13,Epi,Epi,,2011,This study
EPI MES positive target,Ctnnb1,Sostdc1,+,+,E14,Epi,Mes,,2006,"Järvinen E, Salazar-Ciudad I, Birchmeier W, Taketo MM, Jernvall J, Thesleff I. Continuous tooth generation in mouse is induced by activated epithelial Wnt/beta-catenin signaling. PNAS 2006 vol. 103 (49) pp. 18627-32"
MES MES positive target,Gsk3b,Sostdc1,-,+,E10,Mes,Mes,,2011,This study
MES MES negative target,Gsk3b,Sox9,-,-,E10,Mes,Mes,,2011,This study
EPI EPI positive target,Ctnnb1,Sp6,+,+,E14,Epi,Epi,,2006,"Järvinen E, Salazar-Ciudad I, Birchmeier W, Taketo MM, Jernvall J, Thesleff I. Continuous tooth generation in mouse is induced by activated epithelial Wnt/beta-catenin signaling. PNAS 2006 vol. 103 (49) pp. 18627-32"
MES MES negative target,Gsk3b,Src,-,-,E10,Mes,Mes,,2011,This study
MES MES negative target,Gsk3b,Stat3,-,-,E10,Mes,Mes,,2011,This study
MES MES positive target,Gsk3b,Tcf7,-,+,E10,Mes,Mes,,2011,This study
EPI EPI negative target,Gsk3b,Tcf7l2,-,-,E13,Epi,Epi,,2011,This study
MES MES negative target,Gsk3b,Tcf7l2,-,-,E10,Mes,Mes,,2011,This study
MES MES negative target,Gsk3b,Tgfb2,-,-,E10,Mes,Mes,,2011,This study
MES MES negative target,Gsk3b,Tgfb3,-,-,E10,Mes,Mes,,2011,This study
EPI EPI negative target,Gsk3b,Timp2,-,-,E13,Epi,Epi,,2011,This study
EPI EPI negative target,Gsk3b,Timp3,-,-,E13,Epi,Epi,,2011,This study
MES MES negative target,Gsk3b,Timp3,-,-,E10,Mes,Mes,,2011,This study
MES MES positive target,Gsk3b,Tle3,-,+,E10,Mes,Mes,,2011,This study
MES MES positive target,Gsk3b,Tle4,-,+,E10,Mes,Mes,,2011,This study
MES MES positive target,Gsk3b,Tnfrsf19,-,+,E10,Mes,Mes,,2011,This study
MES MES negative target,Gsk3b,Tnik,-,-,E10,Mes,Mes,,2011,This study
