".smooth" ".type" ".by" "weight_lambda" ".estimate" ".se" ".crit" ".lower_ci" ".upper_ci" "fit" "lower1" "upper1" "weight" "stage"
"1" "s(weight_lambda)" "CRS" NA 3.32585307832292 -0.597281829696343 0.020547283467605 1.95996398454005 -0.637553765272984 -0.557009894119702 14.6524793928443 14.6122074572676 14.6927513284209 282 14.5
"2" "s(weight_lambda)" "CRS" NA 3.52595400489832 -0.179602207132174 0.0209963053758431 1.95996398454005 -0.220754209477231 -0.138450204787117 15.0701590154084 15.0290070130634 15.1113110177535 371 15
"3" "s(weight_lambda)" "CRS" NA 3.67916205102959 0.132180972628258 0.0244664278050386 1.95996398454005 0.0842276553000329 0.180134289956483 15.3819421951689 15.3339888778406 15.4298955124971 453 15.5
"4" "s(weight_lambda)" "CRS" NA 3.8921671106392 0.703476647652722 0.0236396014444333 1.95996398454005 0.657143880212752 0.749809415092692 15.9532378701933 15.9069051027534 15.9995706376333 590 16
"5" "s(weight_lambda)" "CRS" NA 4.09626504129409 1.3366461201385 0.0271127844338096 1.95996398454005 1.28350603912763 1.38978620114936 16.5864073426791 16.5332672616682 16.63954742369 750 16.5
"6" "s(weight_lambda)" "CRS" NA 4.22472133345098 1.74879323983559 0.0287155082379145 1.95996398454005 1.69251187789152 1.80507460177967 16.9985544623762 16.9422731004321 17.0548358243203 867 17
"7" "s(weight_lambda)" "CRS" NA 4.38081116618815 2.24048052811869 0.0281991563005749 1.95996398454005 2.18521119737515 2.29574985886223 17.4902417506593 17.4349724199157 17.5455110814028 1028 17.5
"8" "s(weight_lambda)" "CRS" NA 4.55302548020397 2.77043954503855 0.0297896554666446 1.95996398454005 2.71205289321207 2.82882619686503 18.0202007675792 17.9618141157527 18.0785874194056 1232 18
"9" "s(weight_lambda)" "CRS" NA 3.32836166089336 -0.591267001273178 0.0205300900467356 1.95996398454005 -0.631505238364144 -0.551028764182212 14.6584942212674 14.6182559841765 14.6987324583584 283 14.5
"10" "s(weight_lambda)" "CRS" NA 3.48669201633775 -0.254009851661851 0.0210355482983432 1.95996398454005 -0.295238768721656 -0.212780934602045 14.9957513708788 14.9545224538189 15.0369802879386 352 15
"11" "s(weight_lambda)" "CRS" NA 3.7460743590223 0.296049141012414 0.0229690630263769 1.95996398454005 0.251030604722084 0.341067677302743 15.545810363553 15.5007918272627 15.5908288998433 493 15.5
"12" "s(weight_lambda)" "CRS" NA 3.89497364615919 0.711788641623702 0.0236051552553715 1.95996398454005 0.665523387473698 0.758053895773707 15.9615498641643 15.9152846100143 16.0078151183143 592 16
"13" "s(weight_lambda)" "CRS" NA 4.05598624723759 1.2083084247575 0.0270953559199913 1.95996398454005 1.15520250300602 1.26141434650898 16.4580696472981 16.4049637255466 16.5111755690496 716 16.5
"14" "s(weight_lambda)" "CRS" NA 4.28240886955609 1.9325255098273 0.0303866468623208 1.95996398454005 1.87296877636621 1.99208224328839 17.1822867323679 17.1227299989068 17.241843465829 924 17
"15" "s(weight_lambda)" "CRS" NA 4.45982794191254 2.48422814355893 0.0267824779429277 1.95996398454005 2.43173545137406 2.53672083574381 17.7339893660995 17.6814966739147 17.7864820582844 1118 17.5
"16" "s(weight_lambda)" "CRS" NA 4.53078487152832 2.7021144030516 0.0289078283830021 1.95996398454005 2.64545610054965 2.75877270555355 17.9518756255922 17.8952173230903 18.0085339280942 1204 18
