".smooth" ".type" ".by" "weight_lambda" ".estimate" ".se" ".crit" ".lower_ci" ".upper_ci" "fit" "lower1" "upper1" "weight" "stage"
"1" "s(weight_lambda)" "CRS" NA 3.0296691566866 -1.46372879534344 0.0211462572255668 1.95996398454005 -1.50517469791337 -1.42228289277351 13.7860324271972 13.7445865246272 13.8274783297671 182 14
"2" "s(weight_lambda)" "CRS" NA 3.0296691566866 -1.46372879534344 0.0211462572255668 1.95996398454005 -1.50517469791337 -1.42228289277351 13.7860324271972 13.7445865246272 13.8274783297671 182 14
"3" "s(weight_lambda)" "CRS" NA 3.05067274394681 -1.3944646730353 0.0215383053565241 1.95996398454005 -1.43667897582211 -1.35225037024849 13.8552965495053 13.8130822467185 13.8975108522921 188 14
"4" "s(weight_lambda)" "CRS" NA 3.05067274394681 -1.3944646730353 0.0215383053565241 1.95996398454005 -1.43667897582211 -1.35225037024849 13.8552965495053 13.8130822467185 13.8975108522921 188 14
"5" "s(weight_lambda)" "CRS" NA 3.07452035191285 -1.31658452399967 0.0221977823202518 1.95996398454005 -1.36009137788402 -1.27307767011531 13.9331766985409 13.8896698446566 13.9766835524253 195 14
"6" "s(weight_lambda)" "CRS" NA 3.06777643295908 -1.33851365379751 0.0219936148792832 1.95996398454005 -1.38162034685075 -1.29540696074427 13.9112475687431 13.8681408756899 13.9543542617963 193 14
"7" "s(weight_lambda)" "CRS" NA 3.13288790115402 -1.13080355548733 0.0240363742954221 1.95996398454005 -1.17791398342529 -1.08369312754938 14.1189576670533 14.0718472391153 14.1660680949912 213 14
"8" "s(weight_lambda)" "CRS" NA 2.98597123891099 -1.60913615437335 0.0210557701073455 1.95996398454005 -1.6504047054505 -1.5678676032962 13.6406250681673 13.5993565170901 13.6818936192444 170 14
"9" "s(weight_lambda)" "CRS" NA 3.07452035191285 -1.31658452399967 0.0221977823202518 1.95996398454005 -1.36009137788402 -1.27307767011531 13.9331766985409 13.8896698446566 13.9766835524253 195 14
"10" "s(weight_lambda)" "CRS" NA 3.09114508234817 -1.26289003859894 0.0227363733767396 1.95996398454005 -1.3074525115564 -1.21832756564147 13.9868711839417 13.9423087109842 14.0314336568991 200 14.5
"11" "s(weight_lambda)" "CRS" NA 3.10096351204261 -1.23144628879477 0.0230634644185905 1.95996398454005 -1.27664984841392 -1.18624272917561 14.0183149337458 13.9731113741267 14.063518493365 203 14
"12" "s(weight_lambda)" "CRS" NA 3.1042109437332 -1.22109366128808 0.0231709134677549 1.95996398454005 -1.26650781717377 -1.17567950540238 14.0286675612525 13.9832534053668 14.0740817171382 204 14
"13" "s(weight_lambda)" "CRS" NA 3.12659884400026 -1.15042067931673 0.0238656800126374 1.95996398454005 -1.19719655260806 -1.1036448060254 14.0993405432239 14.0525646699325 14.1461164165152 211 13.5
"14" "s(weight_lambda)" "CRS" NA 3.12659884400026 -1.15042067931673 0.0238656800126374 1.95996398454005 -1.19719655260806 -1.1036448060254 14.0993405432239 14.0525646699325 14.1461164165152 211 13.5
"15" "s(weight_lambda)" "CRS" NA 3.18749382217389 -0.965611171663248 0.0246379800838266 1.95996398454005 -1.01390072527936 -0.917321618047132 14.2841500508774 14.2358604972612 14.3324396044935 231 14
"16" "s(weight_lambda)" "CRS" NA 3.19042794604689 -0.957026436155737 0.0246122143445805 1.95996398454005 -1.0052654898509 -0.908787382460579 14.2927347863849 14.2444957326897 14.34097384008 232 NA
"17" "s(weight_lambda)" "CRS" NA 3.1991710024618 -0.931641316642536 0.024494519622707 1.95996398454005 -0.979649692921652 -0.883632940363421 14.3181199058981 14.270111529619 14.3661282821772 235 14
"18" "s(weight_lambda)" "CRS" NA 3.21923494199211 -0.874535524415144 0.0239963019520917 1.95996398454005 -0.921567412003392 -0.827503636826896 14.3752256981255 14.3281938105372 14.4222575857137 242 14.5
"19" "s(weight_lambda)" "CRS" NA 3.21923494199211 -0.874535524415144 0.0239963019520917 1.95996398454005 -0.921567412003392 -0.827503636826896 14.3752256981255 14.3281938105372 14.4222575857137 242 14.5
"20" "s(weight_lambda)" "CRS" NA 3.21923494199211 -0.874535524415144 0.0239963019520917 1.95996398454005 -0.921567412003392 -0.827503636826896 14.3752256981255 14.3281938105372 14.4222575857137 242 14.5
"21" "s(weight_lambda)" "CRS" NA 3.21923494199211 -0.874535524415144 0.0239963019520917 1.95996398454005 -0.921567412003392 -0.827503636826896 14.3752256981255 14.3281938105372 14.4222575857137 242 14.5
"22" "s(weight_lambda)" "CRS" NA 3.23328845129389 -0.835494655822595 0.0234980216179449 1.95996398454005 -0.881549931901711 -0.78943937974348 14.414266566718 14.3682112906389 14.4603218427971 247 14.5
"23" "s(weight_lambda)" "CRS" NA 3.24161342165356 -0.812735170148638 0.0231666987417669 1.95996398454005 -0.85814106532319 -0.767329274974085 14.437026052392 14.3916201572174 14.4824319475665 250 14
"24" "s(weight_lambda)" "CRS" NA 3.26880732972046 -0.740264599802367 0.02203642472469 1.95996398454005 -0.783455198610787 -0.697074000993946 14.5094966227382 14.4663060239298 14.5526872215467 260 14
"25" "s(weight_lambda)" "CRS" NA 3.2714811936141 -0.733291901109426 0.0219300646688214 1.95996398454005 -0.776274038038951 -0.690309764179902 14.5164693214312 14.4734871845017 14.5594514583607 261 14
"26" "s(weight_lambda)" "CRS" NA 3.2714811936141 -0.733291901109426 0.0219300646688214 1.95996398454005 -0.776274038038951 -0.690309764179902 14.5164693214312 14.4734871845017 14.5594514583607 261 14
"27" "s(weight_lambda)" "CRS" NA 3.27680482486502 -0.719489968392619 0.0217249091733915 1.95996398454005 -0.76207000793987 -0.676909928845368 14.530271254148 14.4876912146007 14.5728512936952 263 14.5
"28" "s(weight_lambda)" "CRS" NA 3.27945470129596 -0.712659824462509 0.0216266275034239 1.95996398454005 -0.755047235476283 -0.670272413448735 14.5371013980781 14.4947139870643 14.5794888090919 264 NA
"29" "s(weight_lambda)" "CRS" NA 3.27945470129596 -0.712659824462509 0.0216266275034239 1.95996398454005 -0.755047235476283 -0.670272413448735 14.5371013980781 14.4947139870643 14.5794888090919 264 NA
"30" "s(weight_lambda)" "CRS" NA 3.28473084415167 -0.699138949086536 0.0214398288410607 1.95996398454005 -0.741160241449718 -0.657117656723353 14.5506222734541 14.5086009810909 14.5926435658173 266 13.5
"31" "s(weight_lambda)" "CRS" NA 3.28473084415167 -0.699138949086536 0.0214398288410607 1.95996398454005 -0.741160241449718 -0.657117656723353 14.5506222734541 14.5086009810909 14.5926435658173 266 13.5
"32" "s(weight_lambda)" "CRS" NA 3.29908096980291 -0.662889747794939 0.021004492665669 1.95996398454005 -0.704057796933186 -0.621721698656692 14.5868714747457 14.5457034256074 14.6280395238839 271.5 14.5
"33" "s(weight_lambda)" "CRS" NA 3.29908096980291 -0.662889747794939 0.021004492665669 1.95996398454005 -0.704057796933186 -0.621721698656692 14.5868714747457 14.5457034256074 14.6280395238839 271.5 14.5
"34" "s(weight_lambda)" "CRS" NA 3.29908096980291 -0.662889747794939 0.021004492665669 1.95996398454005 -0.704057796933186 -0.621721698656692 14.5868714747457 14.5457034256074 14.6280395238839 271.5 14.5
"35" "s(weight_lambda)" "CRS" NA 3.32081483643227 -0.609430198283461 0.0205950916895836 1.95996398454005 -0.649795836253345 -0.569064560313577 14.6403310242571 14.5999653862873 14.680696662227 280 14.5
"36" "s(weight_lambda)" "CRS" NA 3.32081483643227 -0.609430198283461 0.0205950916895836 1.95996398454005 -0.649795836253345 -0.569064560313577 14.6403310242571 14.5999653862873 14.680696662227 280 14.5
"37" "s(weight_lambda)" "CRS" NA 3.32081483643227 -0.609430198283461 0.0205950916895836 1.95996398454005 -0.649795836253345 -0.569064560313577 14.6403310242571 14.5999653862873 14.680696662227 280 14.5
"38" "s(weight_lambda)" "CRS" NA 3.33584578431495 -0.573455696693245 0.0205041942041556 1.95996398454005 -0.613643178865405 -0.533268214521085 14.6763055258474 14.6361180436752 14.7164930080195 286 14.5
